,Neighborhood,Latitude,Longitude,VenueID,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,Air Itam,5.4018648,100.2778327,4d19d3966c8b5481c953fbcc,Air Itam Asam Laksa,5.401590708588915,100.27827676813091,Food Stands
1,Air Itam,5.4018648,100.2778327,4d4814f611618cfaba90d023,Air Itam Market Annex Food Court,5.401456092260507,100.27805833617448,Food Courts
2,Air Itam,5.4018648,100.2778327,4ce9f988948f224b6442f95d,Sin Ka Oon Bakery 新加恩,5.401650394212474,100.27830318152279,Bakeries
3,Air Itam,5.4018648,100.2778327,4dc49b4a7d8b14fb4615eba3,Kopitiam Bawah Pokok,5.401579061280859,100.27749378785934,Coffee Shops
4,Air Itam,5.4018648,100.2778327,4c950b8772dd224b8ee29f91,Air Itam Duck Rice (亞依淡鴨飯),5.401481526408659,100.27798879070161,Food Stands
5,Air Itam,5.4018648,100.2778327,56c15570cd10904e6ae336fb,新荣华饮食中心 Sin Yong Wah Coffee Shop (Kedai Kopi Sin Yong Wah),5.401408586341022,100.27752242885236,Coffee Shops
6,Air Itam,5.4018648,100.2778327,4bbfbc862a89ef3bd57cef88,Wah Meng Cafe (華茗餐室),5.400213563402544,100.27800468456618,Coffee Shops
7,Air Itam,5.4018648,100.2778327,5916f6b01987ec2534b80cc7,Seven Ocean Seafood Cafe,5.40179,100.276463,Chinese Restaurants
8,Air Itam,5.4018648,100.2778327,4e5b0210483b865169f409b7,Hakka Noodle 客家面,5.4018133744318195,100.276710651156,Noodle Houses
9,Air Itam,5.4018648,100.2778327,4d55df8ecc65a143993c545e,Sister's Curry Mee (暹罗姐妹咖喱面),5.400410198474267,100.27893412153857,Noodle Houses
10,Air Itam,5.4018648,100.2778327,52461f8f11d24f8a9c99f5d5,Kedai Kopi Kampung Melayu,5.4026215761027645,100.28127324326834,Coffee Shops
11,Air Itam,5.4018648,100.2778327,5911c0a1e57ca60e46de7203,Island Glades Claypot Chicken Rice,5.396217,100.286046,Comfort Food Restaurants
12,Air Itam,5.4018648,100.2778327,4d4cf60d80cb6dcb0a460a01,Uni Bakery 聯麵包,5.3982673534572,100.28285643064541,Bakeries
13,Air Itam,5.4018648,100.2778327,579e0247498ea52a34c59e01,Leong Hee Seafood 龍禧海鲜小館,5.394045302496906,100.27667755464338,Seafood Restaurants
14,Air Itam,5.4018648,100.2778327,5cc4f385f00a70002ce664d4,A&W,5.40844,100.277287,American Restaurants
15,Air Itam,5.4018648,100.2778327,5a2fada858aa7f329e454808,Kim Poh Roasted Chicken & Duck Rice 金寶燒臘雞鴨專賣店,5.396285676727884,100.28661746608266,Chinese Restaurants
16,Air Itam,5.4018648,100.2778327,5ac356df35f9833cb9492c57,霸王饭,5.39661,100.285365,Asian Restaurants
17,Air Itam,5.4018648,100.2778327,5c4836728194fc002c1c70d0,福华小菜馆 K-Food,5.396174,100.286553,Chinese Restaurants
18,Air Itam,5.4018648,100.2778327,5bcbeb1ba92d98002c07bf95,Seven Village Noodle House,5.3934674,100.27651,Noodle Houses
19,Air Itam,5.4018648,100.2778327,4cf9b416c671721edd12b918,Restaurant 1997 飲食中心,5.394086759256237,100.27667041085867,Coffee Shops
20,Air Itam,5.4018648,100.2778327,5a475963911fc41b86c85ae2,Uncle Lim’s,5.396384,100.285393,Cafés
21,Air Itam,5.4018648,100.2778327,5c56dcf744f41900259aa83b,古伯 Kooper,5.403815,100.27998,Noodle Houses
22,Air Itam,5.4018648,100.2778327,5b6ed73c28374e0039eb1a13,香樂門 XIANG LE MEN,5.4074726,100.280304,Restaurants
23,Air Itam,5.4018648,100.2778327,4de467b0ae60e7f3ac1e6059,Awie Nasi Campur,5.3984922601117455,100.28358890194788,Food
24,Air Itam,5.4018648,100.2778327,4d9da14ec97a236a2515c199,Ah Leng Char Koay Teow & Fried Rice 亞龍炒粿條,5.412958258464174,100.31871846355328,Food Trucks
25,Air Itam,5.4018648,100.2778327,4e68a7d914954826adc19149,Hong Kong 97 Cafe (香港97飲食中心),5.394358787477566,100.27698876918913,Coffee Shops
26,Air Itam,5.4018648,100.2778327,5b1ba8346f706a002c5c7739,泰式美味 Thai Taste,5.405974,100.282819,Thai Restaurants
27,Air Itam,5.4018648,100.2778327,535e5891498e83174e0b4b33,Lam Mee Hong Kong 97,5.3942484855651855,100.27686309814453,Coffee Shops
28,Air Itam,5.4018648,100.2778327,4d04358837036dcb8b740ffb,Excellent Cafe 新亞洲美食中心,5.405395539026988,100.28342283975817,Coffee Shops
29,Air Itam,5.4018648,100.2778327,55bcc8a8498ea2a029241b95,Farm House Cafe,5.402051147762262,100.27701323686496,Cafés
30,Air Itam,5.4018648,100.2778327,53531269498e936dfa744d2b,Qi Xiang Dim Sum Tea Garden 奇香點心茶樓,5.397070463543263,100.28705477714539,Dim Sum Restaurants
31,Air Itam,5.4018648,100.2778327,4eec2efa9adf257d655a67e0,"Kabir's Mee Goreng, Rebus",5.40533039392903,100.283354855883,Noodle Houses
32,Air Itam,5.4018648,100.2778327,5a31f656c53093793b49a2e4,Grade Island Café (Grade Island Cafe),5.39654,100.284984,Coffee Shops
33,Air Itam,5.4018648,100.2778327,501940a6e4b0df49e469b794,Joe's Burger,5.394579051565516,100.27673900127411,Burger Joints
34,Air Itam,5.4018648,100.2778327,4c8c701dcf3ea1431ab1f551,Lye Lye Food Centre 來來飲食中心,5.405974726300481,100.28235441975154,Coffee Shops
35,Air Itam,5.4018648,100.2778327,4da1a400d686b60c63d1a828,Reservoir Garden Hawker Arcade (阿逸布爹湖花园美食中心),5.404436907114435,100.28692315609726,Food Courts
