Latitude,Longitude,Neighborhood,VenueCategory,VenueLatitude,VenueLongitude,VenueName
5.3228416,100.2890394,Bayan Baru,Kitchen Supply Store,5.3324742999999994,100.2915503,T & T Kitchen Utensil Supplies
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4173900999999995,100.3301359,Pots Kitchenware Sdn. Bhd.
5.4318216,100.3117683,Pulau Tikus,Kitchen Supply Store,5.4376413,100.30735329999999,Kitchen Shop Gurney Plaza
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4043593,100.33119029999999,F & B Equipment Sdn. Bhd.
5.3228416,100.2890394,Bayan Baru,Kitchen Supply Store,5.3267612,100.2805523,F & B Equipment Sdn. Bhd.
5.3663396,100.447698029297,Bukit Mertajam,Kitchen Supply Store,5.327746,100.4534493,Chefutensile (M) Sdn. Bhd.
5.4318216,100.3117683,Pulau Tikus,Kitchen Supply Store,5.4384533,100.3074562,Katrin BJ
5.4318216,100.3117683,Pulau Tikus,Kitchen Supply Store,5.4375293,100.3067193,La Gourmet
5.4461393,100.3052541,Tanjung Tokong,Kitchen Supply Store,5.440400299999999,100.3051132,Cooking Island
5.4318216,100.3117683,Pulau Tikus,Kitchen Supply Store,5.4301102,100.31003879999999,Ohl Kitchen Ware
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4166422999999995,100.3213362,Hotel & Restaurant Catering
5.4318216,100.3117683,Pulau Tikus,Kitchen Supply Store,5.431583,100.3123369,The Kitchen Shop
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4167032,100.3235522,C & I Marketing
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4150876,100.33523790000001,Keng Fatt Sdn. Bhd.
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4184353,100.3388742,Hotreca
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4118362,100.32126009999999,Baking FRenzy Cooking Supplies
5.3935211,100.366264819942,Butterworth,Kitchen Supply Store,5.4084663,100.36907430000001,Eunikem Trading
5.3935211,100.366264819942,Butterworth,Kitchen Supply Store,5.399727400000001,100.3699162,Yea Lian Enterprise
5.4104982,100.4136507,Permatang Pauh,Kitchen Supply Store,5.4317112000000005,100.3811352,Buffalo Everpro
5.3935211,100.366264819942,Butterworth,Kitchen Supply Store,5.4169459,100.3774388,My Homelife (Raja Uda)
5.3869071,100.3120903,Jelutong,Kitchen Supply Store,5.3952493,100.312709,My Homelife (Jalan Perak)
5.3228416,100.2890394,Bayan Baru,Kitchen Supply Store,5.3320583,100.29406329999999,My Homelife (Krystal Point)
5.4104982,100.4136507,Permatang Pauh,Kitchen Supply Store,5.4283053,100.3848113,Kabanaz Enterprise (Butterworth)
5.3663396,100.447698029297,Bukit Mertajam,Kitchen Supply Store,5.3639507,100.4605151,Guan Lee
5.3935211,100.366264819942,Butterworth,Kitchen Supply Store,5.4121742,100.3703373,Gwek Enterprise
5.3869071,100.3120903,Jelutong,Kitchen Supply Store,5.4001376,100.3067432,Asahi Kitchen Equipment Sdn. Bhd.
5.2817072,100.4765976,Simpang Ampat,Kitchen Supply Store,5.3012593,100.45510829999999,BigSpoon Kitchenware
5.4145681,100.3298035,George Town,Kitchen Supply Store,5.4144767,100.3316442,Sim Company
5.3663396,100.447698029297,Bukit Mertajam,Kitchen Supply Store,5.3524983,100.46845429999999,Modern Kitchenware
5.4145681,100.3298035,George Town,Department Store,5.4217559,100.32544399999999,Giant Supermarket Penang Plaza
5.3675141,100.3121321,Gelugor,Department Store,5.351368,100.2940645,Tesco Extra Sungai Dua
5.4104982,100.4136507,Permatang Pauh,Department Store,5.4058758000000005,100.40445770000001,Tesco Extra Seberang Jaya
5.4104982,100.4136507,Permatang Pauh,Department Store,5.4390017,100.38163420000001,Tesco Bagan Ajam
5.4461393,100.3052541,Tanjung Tokong,Department Store,5.4589425,100.3065598,Tesco Seri Tanjung Pinang
5.3869071,100.3120903,Jelutong,Department Store,5.377538400000001,100.3127175,Tesco Hypermarket Jelutong
5.2817072,100.4765976,Simpang Ampat,Department Store,5.3164354000000005,100.47505490000002,Tesco Hypermarket Alma
5.5146783,100.4284639,Kepala Batas,Department Store,5.5168895,100.4431837,Tesco Bertam
5.3228416,100.2890394,Bayan Baru,Department Store,5.3256544,100.2865242,Sunshine Square
5.4018648,100.2778327,Air Itam,Department Store,5.3958547,100.28403309999999,Sunshine Farlim Shopping Mall
